window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives,condition,model_retrained
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,Full System,False
8,0.6203941600091994,0.1038107752956636,0.18302828618968386,0.9603030303030302,0.1668535651827329,0.1329509337069225,0.2824693595441859,43966,1923,Full System,False
9,0.5701054540636012,0.09078842580302628,0.09989829359249633,0.9504040404040404,0.09881896029726844,0.053267070914994025,0.4188455029275128,43487,1876,Full System,False
10,0.5965028569186439,0.08788455292097815,0.10043804755944931,0.9504040404040404,0.13472218288384946,0.051351598395745754,0.3592634687187603,41128,1556,Full System,False
11,0.5597640599803322,0.08149512204678133,0.08228521139672179,0.43565656565656563,0.11080102206344555,0.041244463087604315,0.4186649653912338,42566,1588,Full System,False
12,0.48927856042283235,0.07155935306682942,0.07279607189513042,0.2871717171717172,0.046953694644882416,0.03263565227095597,0.5856635473470166,49820,1796,Full System,False
13,0.5091718257308313,0.06585972660945406,0.06804272450143113,0.23767676767676768,0.06592985517720651,0.03172405169228407,0.52710584574324,48698,1602,Full System,False
14,0.5187512182526168,0.0769940504597372,0.07779588209154199,0.39606060606060606,0.06969886164483952,0.037270041080957175,0.5283929511472546,42160,1584,Full System,False
15,0.479230496455274,0.09247035290755823,0.09247740875484098,0.5544444444444444,0.05144385670113216,0.04042544136404658,0.6220718660392534,41969,1935,Full System,False
16,0.5887425573776556,0.09399929516547592,0.1026665508555546,0.9405050505050505,0.13230968136939303,0.05605850563140878,0.4811106700112661,44653,1902,Full System,False
17,0.5461483946480191,0.07394377257735198,0.07869115728194319,0.9504040404040404,0.06477847316834068,0.04299378567843957,0.5201555443290868,42833,1560,Full System,False
18,0.4583543056389122,0.0653046722330787,0.06905442520038114,0.1386868686868687,0.014802802162179107,0.03001753625296654,0.5292084734869861,37830,1338,Full System,False
19,0.4589781606311505,0.06351955113774115,0.0658474650477219,0.21787878787878787,0.014757993922667412,0.028627732286293027,0.5686174420186242,37121,1250,Full System,False
20,0.5097875725990305,0.06321011851897222,0.06478962353685543,0.9306060606060605,0.03462695141898564,0.03208044146684886,0.6051649643343747,39992,1299,Full System,False
21,0.525372808795256,0.06007770302283711,0.060937334696900235,0.6435353535353535,0.052600395325633875,0.030467915977295024,0.5648552753333124,41254,1225,Full System,False
22,0.5203471307632809,0.06329823686997695,0.0647912885662432,0.8415151515151514,0.04669478864266041,0.0323573498352392,0.5805115308177577,40849,1294,Full System,False
23,0.5322428204287704,0.07359461471245024,0.07406425090342472,0.5346464646464646,0.06677915238266774,0.036559366383315806,0.5464617960328702,40979,1462,Full System,False
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,No Drift Detection,False
