roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.9647564485519506,0.7636363636363637,0.7629773943913675,32122,63,5,False,False,0.0008094141087105,
0.9275038985415708,0.6376811594202898,0.67924850893065,31182,45,6,False,False,0.0008017445962414,1.0
0.9632788712809572,0.8260869565217391,0.8315312409931584,31533,53,7,False,False,0.0005074049408556,0.9984962406015035
0.9379758801195908,0.775,0.7812751274030167,32269,48,8,False,False,0.0005578109021041,0.9969924812030074
0.9173227462591595,0.5970149253731343,0.591718497453808,35476,44,9,False,False,0.0007610779118277,0.9977443609022556
0.9524905441936008,0.7058823529411765,0.7460541114004196,33934,42,10,False,False,0.0005893793835091,0.9978947368421052
0.979566034100761,0.6666666666666666,0.6944511612276298,20794,32,11,False,False,0.0010099067038568,0.9969924812030077
0.9918608187332104,0.7207207207207207,0.7582021864986505,9158,52,12,False,False,0.003385018563005,0.9945864661654136
0.9907472922222826,0.8347826086956521,0.880210222082307,5859,57,13,False,False,0.0032428742106161,0.995187969924812
0.9836003942408325,0.6530612244897959,0.7663444255627407,8581,23,14,False,False,0.001981121081459,0.9933834586466166
0.9999384181031828,0.7407407407407407,0.9194805194805196,19202,11,15,True,True,0.0008853244453702,0.9767145135566186
0.9832511208963962,0.6808510638297872,0.7245639698344013,29706,21,16,False,False,0.0005049484952534,0.9752107541581224
0.9826203833567088,0.7301587301587301,0.7128506131329312,32117,32,17,False,False,0.0005293146931531,0.9779175210754156
0.979885326581886,0.8,0.7683595439916342,32634,38,18,False,False,0.0004290004290004,0.9782182729551152
0.9880814843032804,0.8275862068965517,0.8421509829761264,34117,47,19,False,False,0.0004396635108596,0.9786192754613808
0.9917814411280742,0.8349514563106796,0.8575478007747157,33038,55,20,False,False,0.0005145589926751,0.9937844611528822
0.9876642743473816,0.8048780487804879,0.8101127886239539,31671,42,21,False,False,0.0005051940260806,0.99468671679198
