roc_auc,f1,average_precision,n_samples,n_positives,window_index,drift_detected,model_retrained,error_rate,ssi
0.7121751747771817,0.1424062618356268,0.171246187472442,41193,1789,7,True,False,0.329813317796713,
0.8971068287823443,0.5136917849290425,0.6450576433114769,43966,1923,8,True,True,0.3457899285811763,0.6573426573426573
0.8681637815242699,0.3519220357336221,0.600473957613338,43487,1876,9,True,True,0.0609837422678041,0.7845536816125052
0.8588501561827232,0.329783801226202,0.5657477077225612,41128,1556,10,True,True,0.1238572262205796,0.775486768133827
0.8188201035070365,0.3015233759411662,0.4753271320838488,42566,1588,11,True,True,0.1330639477517267,0.7666640957082134
0.8783355051316213,0.5651414600069857,0.5656178516663144,49820,1796,12,True,True,0.0561621838619028,0.6618606883312765
0.764146868605512,0.1487175464742332,0.3424564447028919,48698,1602,13,True,True,0.1804180869850918,0.6034313725490197
0.7893269992910175,0.1879832324173265,0.4078625381161582,42160,1584,14,True,True,0.2333017077798861,0.5882352941176471
0.8447492112324679,0.304388641164046,0.4999641540208606,41969,1935,15,True,True,0.2376515999904691,0.5955882352941178
0.8954357294721167,0.4882008684160845,0.6315732033641052,44653,1902,16,True,True,0.1419165565583499,0.5575490196078432
0.8854937293704769,0.4639251415907412,0.5671981139602912,42833,1560,17,True,True,0.0653001190670744,0.6918627450980392
0.9306449131427048,0.5651537335285505,0.6429054228549849,37830,1338,18,True,True,0.0538461538461538,0.7076470588235294
0.9078473864681776,0.5795148247978437,0.5799408851070178,37121,1250,19,True,True,0.0278817919775868,0.6633473389355742
0.9086819247710314,0.4950213371266003,0.5474834909420814,39992,1299,20,True,True,0.0467343468693738,0.6709523809523809
0.8920223858111032,0.4295991778006166,0.4623429832966956,41254,1225,21,False,False,0.0403597226935569,0.7493940734188411
0.9212393206727784,0.5654345654345654,0.5994404733534608,40849,1294,22,True,True,0.0414453230189233,0.7181992878122909
0.9295269448356346,0.6124093473005641,0.6452236385744274,40979,1462,23,True,True,0.0286732228702506,0.7406244684108461
