window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
4,1.0,0.9923664122137404,1.0,0.6336363636363637,1.0,1.0,4.491261067963457e-05,29862,65
5,1.0,0.9767441860465116,1.0,0.693030303030303,1.0,1.0,6.365153705573153e-05,32122,63
6,1.0,0.9782608695652174,1.0,0.693030303030303,1.0,1.0,5.9840968848584126e-05,31182,45
7,1.0,1.0,1.0,0.4257575757575757,1.0,1.0,2.2217799415099107e-05,31533,53
8,1.0,1.0,1.0,0.4257575757575757,1.0,1.0,1.7404789321749558e-05,32269,48
9,0.9999967928323652,0.946236559139785,0.9887640449438202,0.7722222222222221,0.9999717769248138,0.9973544300769329,9.430491886874015e-05,35476,44
10,0.9999978924651414,0.9333333333333333,0.9882352941176471,0.7722222222222221,0.9999704945119793,0.9982986766270132,0.00010750305679674257,33934,42
11,0.9999939793854156,0.9411764705882353,0.9696969696969697,0.8514141414141414,0.9999036701666506,0.9962678253119429,0.00015654204719040454,20794,32
12,0.9999894406055179,0.9541284403669725,0.9803921568627451,0.9207070707070707,0.9996705468921591,0.9982253595461142,0.0004077524324382355,9158,52
13,0.9999758099143066,0.9743589743589743,0.991304347826087,0.6039393939393939,0.9998276456394347,0.9974201885015215,0.00035705009493752993,5859,57
14,0.9999695174614142,0.9583333333333334,0.9787234042553191,0.693030303030303,0.9998831502687544,0.987789126106209,0.0002264893555641666,8581,23
15,0.9999905258620281,0.8461538461538461,0.9565217391304348,0.792020202020202,0.9999478922411547,0.984159779614325,0.00016455874700294497,19202,11
16,0.9999807502586684,0.8936170212765957,0.9333333333333333,0.594040404040404,0.9998989388580091,0.9710797849176884,0.00017853683524781915,29706,21
17,0.9999542231572386,0.8695652173913043,0.9375,0.7227272727272727,0.9991896524855851,0.9654904147734056,0.0002446830473870496,32117,32
18,0.999497839579929,0.7857142857142857,0.9166666666666666,0.7326262626262626,0.9849981592833477,0.9259429097870258,0.00039235930543529604,32634,38
19,0.9995847098277014,0.8076923076923077,0.898876404494382,0.8514141414141414,0.9853830349280892,0.9348759372597913,0.00045824269046022283,34117,47
20,0.992929139804803,0.7719298245614035,0.8541666666666666,0.9405050505050505,0.9261321948221259,0.8553505278009457,0.0006670085122154923,33038,55
21,0.9736355574826598,0.7032967032967034,0.8378378378378378,0.9405050505050505,0.8933189703843218,0.8017998749215498,0.0007114436838908415,31671,42
