window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
4,1.0,1.0,1.0,0.1386868686868687,1.0,0.9999999999999998,1.6701163897884095e-06,29862,65
5,1.0,1.0,1.0,0.1386868686868687,1.0,0.9999999999999998,1.6887223740611158e-06,32122,63
6,1.0,1.0,1.0,0.15848484848484848,1.0,1.0,2.041836276749513e-06,31182,45
7,1.0,1.0,1.0,0.15848484848484848,1.0,1.0,1.5787107452848683e-06,31533,53
8,1.0,1.0,1.0,0.059494949494949496,1.0,1.0000000000000002,5.795032129287501e-07,32269,48
9,1.0,0.9887640449438202,1.0,0.5742424242424242,1.0,1.0,1.1730135078813997e-05,35476,44
10,1.0,0.9882352941176471,1.0,0.5742424242424242,1.0,1.0,1.2418507556528128e-05,33934,42
11,1.0,1.0,1.0,0.24757575757575756,1.0,1.0,7.335234917605971e-06,20794,32
12,1.0,1.0,1.0,0.24757575757575756,1.0,1.0,2.1820834308839227e-05,9158,52
13,1.0,1.0,1.0,0.37626262626262624,1.0,1.0,3.4788445841189596e-05,5859,57
14,0.9999999999999999,1.0,1.0,0.37626262626262624,1.0,0.9999999999999999,2.5957432858158157e-05,8581,23
15,1.0,1.0,1.0,0.40595959595959596,1.0,1.0,1.870443891953757e-05,19202,11
16,1.0,0.9767441860465116,1.0,0.5049494949494949,1.0,1.0,3.1177605705573124e-05,29706,21
17,1.0,0.9846153846153847,1.0,0.5049494949494949,1.0,1.0,4.4104053450259514e-05,32117,32
18,1.0,1.0,1.0,0.47525252525252526,1.0,0.9999999999999998,4.5554609026451684e-05,32634,38
19,0.9999975020140013,0.9583333333333334,0.9787234042553191,0.6039393939393939,0.9999119459935427,0.9982707107288367,9.479147873915843e-05,34117,47
20,0.9947526687301722,0.8703703703703703,0.9108910891089109,0.7524242424242424,0.9324175263841152,0.8867989372490173,0.0003505889884915723,33038,55
21,0.9871975537820175,0.7674418604651163,0.88,0.9207070707070707,0.8907873877047736,0.810334869479151,0.0005049799607211847,31671,42
