window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
6,0.9307578745599646,0.543063215952482,0.6572237960339944,0.22777777777777777,0.7108883031989728,0.6886803661333113,0.021920317401553504,40325,1685
7,0.9311889552317228,0.5576470588235294,0.657843770174306,0.22777777777777777,0.7104602994909223,0.6921278162169753,0.022316060724679312,41193,1789
8,0.9361226253155448,0.5956996827634825,0.6915017462165308,0.22777777777777777,0.7253901173338754,0.7185388959898588,0.02107360094950342,43966,1923
9,0.9401395957963593,0.6496859734822051,0.7046662728883638,0.22777777777777777,0.747867726976204,0.7378927615560172,0.01940995659823623,43487,1876
10,0.9374931951833202,0.6217704362558238,0.665943600867679,0.25747474747474747,0.7468626384577186,0.7046242874562311,0.018199318401221277,41128,1556
11,0.9231342018872817,0.5743589743589743,0.6369472182596291,0.24757575757575756,0.6995896182174548,0.6600247949591385,0.019619635453890446,42566,1588
12,0.9081532220155697,0.5006026516673363,0.5848563968668408,0.22777777777777777,0.6605389769851526,0.6009102629904537,0.021061941586854264,49820,1796
13,0.9097242236061727,0.4718277599633532,0.5678210678210678,0.21787878787878787,0.6721442027090734,0.5825790241381751,0.01988393825318911,48698,1602
14,0.9287336844390274,0.5140562248995983,0.6059095763616945,0.22777777777777777,0.7189588610872129,0.631647565877653,0.021198816084035847,42160,1584
15,0.9304253529203018,0.5691617799241118,0.6299212598425197,0.2673737373737374,0.723594879752727,0.659440729868487,0.024440670737366086,41969,1935
16,0.9272924688659426,0.6210633254317643,0.6584158415841584,0.33666666666666667,0.7110791783029604,0.6845445179646439,0.021185462295425048,44653,1902
17,0.924574984453113,0.5664939550949913,0.6233576642335766,0.2673737373737374,0.7041904684691737,0.6523606553680469,0.019476670837763187,42833,1560
18,0.9181409132488771,0.4608788853161844,0.5644768856447688,0.207979797979798,0.6875783082132628,0.5769295845614754,0.021614765090931114,37830,1338
19,0.9014050570098409,0.4188235294117647,0.5309653916211293,0.23767676767676768,0.6539794262774944,0.5158648415779968,0.02205250595305366,37121,1250
20,0.8995055469808559,0.44814198557958956,0.5232974910394266,0.2871717171717172,0.6411400916000366,0.5198104775506883,0.021129161303365725,39992,1299
21,0.8989289091938956,0.4732394366197183,0.5056374674761491,0.25747474747474747,0.6370897833764398,0.515126117835295,0.019561351902320317,41254,1225
22,0.8929804468842613,0.44361702127659575,0.4748971193415638,0.25747474747474747,0.6261456227579738,0.48186365543574594,0.021799555241103483,40849,1294
23,0.8960217540619672,0.4747522416234073,0.5061682242990654,0.25747474747474747,0.6402449280949822,0.5190115398461757,0.023276381265594094,40979,1462
