window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
4,0.9999824453158681,0.8125,0.9552238805970149,0.9702020202020202,0.9996979561700843,0.9920383420314256,0.0011103981733655809,29862,65
5,0.9999693026300219,0.7283236994219653,0.9393939393939394,0.9306060606060605,0.9997192676003618,0.9844620221005205,0.0016350369774697493,32122,63
6,0.9999536100316522,0.5555555555555556,0.9247311827956989,0.9306060606060605,0.9997751870764685,0.9673408242372208,0.0023233767624120153,31182,45
7,0.9999880127544293,0.6127167630057804,0.9719626168224299,0.9108080808080807,0.9998729351969504,0.9926149604323442,0.002100560642685729,31533,53
8,1.0,0.6530612244897959,1.0,0.9108080808080807,1.0,1.0,0.0017910765614977898,32269,48
9,0.9999454781502084,0.6567164179104478,0.946236559139785,0.9207070707070707,0.9998588846240687,0.9446021333676655,0.0017603571682037816,35476,44
10,0.9999543367447298,0.6666666666666666,0.9438202247191011,0.9207070707070707,0.9998524725598962,0.9566988104480757,0.001612219151530247,33934,42
11,0.9999021650130046,0.5423728813559322,0.8767123287671232,0.9306060606060605,0.9995665157499277,0.9352230787730836,0.0024353498886625488,20794,32
12,0.99974657453243,0.6540880503144654,0.8869565217391304,0.9603030303030302,0.998682187568636,0.9529632857348648,0.005365097691994515,9158,52
13,0.9998730020501098,0.8321167883211679,0.9491525423728814,0.98010101010101,0.9987935194760428,0.9851488038878755,0.004402996516145649,5859,57
14,0.9999136328073402,0.6388888888888888,0.92,0.9504040404040404,0.9995326010750175,0.9669838878888166,0.003288364221286348,8581,23
15,0.999938418103183,0.29333333333333333,0.7857142857142857,0.9504040404040404,0.9996873534469283,0.921082482579809,0.002613239920050487,19202,11
16,0.9998780849715665,0.35,0.7906976744186046,0.98010101010101,0.9994610072427151,0.8536965328641848,0.0026164732135968358,29706,21
17,0.9997253389434315,0.31683168316831684,0.8275862068965517,0.99,0.9980052984260558,0.8487370603914897,0.0041402168196616445,32117,32
18,0.99944859233616,0.2605633802816901,0.8450704225352113,0.98010101010101,0.9925450975579826,0.8600595164968529,0.005669512275448886,32634,38
19,0.9995734688907069,0.3157894736842105,0.8764044943820225,0.98010101010101,0.9929556794834165,0.9062213081911491,0.005152859014626909,34117,47
20,0.994459404707108,0.37547892720306514,0.8571428571428571,0.99,0.9153387557777698,0.861263999205047,0.004726648897276396,33038,55
21,0.9879382844857567,0.3185840707964602,0.8311688311688312,0.99,0.8804194161777392,0.8049635283111667,0.004745837390571117,31671,42
