model,dataset,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_f1,std_f1,n_drift_events,n_retrains,mean_ssi
StaticXGBoost,ieee_cis,0.8985943787571221,0.013407950781523948,0.5187643010310007,0.07048394484008866,0.2240329729187819,0.03174461790091265,,,
StaticXGBoost,gmsc,0.5042163427903352,0.01286742389603957,0.06899152834104978,0.0043285157729449604,0.12541109870033681,0.004756637529489501,,,
StaticXGBoost,ccfraud,0.9988994529148728,0.0030202022604062873,0.9296722542745329,0.06001911756456955,0.5324215446887633,0.19035521748295123,,,
StaticLightGBM,ieee_cis,0.9185957228696675,0.015736943801472156,0.618998771962576,0.08187451493798444,0.5280491188024952,0.0699295356743498,,,
StaticLightGBM,gmsc,0.5063115393084815,0.016194560629789613,0.06935435506921754,0.005579366627640857,0.0,0.0,,,
StaticLightGBM,ccfraud,0.9989970958070106,0.003193121449891724,0.9830780287476115,0.050663815133291636,0.9741391374384547,0.06020909580148882,,,
AdaptiveXGBoost,ieee_cis,0.9038273292013005,0.017957788310478486,0.5400769035953104,0.06571865335918263,0.21542044815955186,0.04681097322784643,17.0,16.0,0.6603824907999637
AdaptiveXGBoost,gmsc,0.4998919475032233,0.013651817155909483,0.06779658859551495,0.0028811431661402093,0.12488606120406605,0.004594415816044016,0.0,0.0,0.9915114379084968
AdaptiveXGBoost,ccfraud,0.9625460591322851,0.02696705319831291,0.7706518628421476,0.08874955433559063,0.6215023286119742,0.1791282169121108,1.0,1.0,0.9519862645094843
AdaptiveLightGBM,ieee_cis,0.8648568802104822,0.061496145750085454,0.5264624604801739,0.1257846618438878,0.41440100798375396,0.15631699464792842,16.0,15.0,0.683296197884288
AdaptiveLightGBM,gmsc,0.49995478697739704,0.010994596576605495,0.06833481601941092,0.00396810312190788,0.0,0.0,0.0,0.0,0.9974999999999999
AdaptiveLightGBM,ccfraud,0.9719014927624015,0.024432632986119106,0.7721811232210607,0.08086975997133944,0.7411587779519127,0.07567758383351304,1.0,1.0,0.9904018569150148
